 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Desatascador Turbo Bosque Verde en gel,"Botella 500 ml | 3,30 €/L",1.65,,,,"{'url':'979f7fa68b8fa84b908753308c68f474b8afb26fc832741c791ffa17a4d60f16.jpg','size':23310,'width':600,'height':600,'filename':'4215c758f21d436ed9fcd38580c7c3ae.jpg'}",,2022-09-15T07:35:38.785Z,2022-09-15T07:35:38.785Z
Desatascador de Tuberías Bosque Verde en gel,"Botella 1 L | 1,90 €/L",1.9,,,,"{'url':'69a72c6b5d9f108197628e4858b3c04c0f08f61c5ad5083c660ba9ef0579d5de.jpg','size':19359,'width':600,'height':600,'filename':'e05151dfc7e023ef071e9d5b96d750a8.jpg'}",,2022-09-15T07:35:09.292Z,2022-09-15T07:35:09.292Z
Amoníaco con detergente Bosque Verde,"Botella 1,5 L | 0,634 €/L",0.95,,,,"{'url':'ef1f2480a7a75242fe22deb101e77acec40b9dc06a591d3c4ffdb1f441f7621a.jpg','size':14847,'width':600,'height':600,'filename':'c2da7f67af92d43db887dd43b8a856b4.jpg'}",,2022-09-15T07:19:13.351Z,2022-09-15T07:19:13.351Z
Salfumant Bosque Verde,"Botella 1 L | 0,90 €/L",0.9,,,,"{'url':'6f1eccef9022fd120bb05f090e3040a51a2b7bc4a48f182f254eccfac6858a0e.jpg','size':13336,'width':600,'height':600,'filename':'ebb9f9de89f0da15f5a11a074bf91d95.jpg'}",,2022-09-15T07:16:39.346Z,2022-09-15T07:16:39.346Z
Amoníaco perfumado Bosque Verde,"Botella 1,5 L | 0,40 €/L",0.6,,,,"{'url':'3934c6b1344058501a16500070b1bd397dc9d98ff9243a7ded6d25a875bc6be1.jpg','size':13671,'width':600,'height':600,'filename':'c13dfb96cb26697f8e683a15c64bab81.jpg'}",,2022-09-15T07:15:20.906Z,2022-09-15T07:15:20.906Z
Lejía Multiusos Bosque Verde con pistola,"Botella 750 ml | 2,267 €/L",1.7,,,,"{'url':'b3cf48cadf8caf40244c24cbfea362e1f1e461129302f9053a1a9d49df36af62.jpg','size':25557,'width':600,'height':600,'filename':'e9567e791287ce14af270d5d61263b14.jpg'}",,2022-09-15T07:14:58.079Z,2022-09-15T07:14:58.079Z
Pastillas desinfectantes multiusos Orache,"Bote 48 ud. | 8,707 €/kg",1.4,,,,"{'url':'054e659c18ed2ff7aa2155491477657bb3d5d43410c2f4682f6904e282439ae7.jpg','size':23086,'width':600,'height':600,'filename':'60d3d7431b37fb95dc0e04c906e92e71.jpg'}",,2022-09-15T07:14:37.810Z,2022-09-15T07:14:37.810Z
Lejía con detergente 2 en 1 Estrella,"Botella 1,43 L | 1,364 €/L",1.95,,,,"{'url':'f7b68b389a64bd77bf595280f516b64115b06cba1e75d539b7a6ba5e148184a3.jpg','size':22304,'width':600,'height':600,'filename':'871003223a30a66eb29fcf517fe122ac.jpg'}",,2022-09-15T07:14:16.991Z,2022-09-15T07:14:16.991Z
Lejía densa Bosque Verde,"Garrafa 5 L | 0,52 €/L",2.6,,,,"{'url':'d95d38f79a9890a2ca5b2fdcf8a7883c06f7febf52d60cf9d686de49721ef8a4.jpg','size':15921,'width':600,'height':600,'filename':'b69afdd91112d787b6170dfd0930b780.jpg'}",,2022-09-15T07:13:52.228Z,2022-09-15T07:13:52.228Z
Lejía con detergente 2 en 1 Estrella limón,"Botella 1,43 L | 1,364 €/L",1.95,,,,"{'url':'504035af3149c69e353bf3230768e6925493be8bb926cb292095abf828b43750.jpg','size':20287,'width':600,'height':600,'filename':'233a79d36375eddd9a7ee08594b8787b.jpg'}",,2022-09-15T07:13:24.712Z,2022-09-15T07:13:24.712Z
