 Name,Description,Price,tipo
Postre lácteo +Proteínas con fresa Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5, Desayuno Comida_Cena
Yogur cremoso natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos Linnea V,"6 ud. x 125 g | 1,734 €/kg",1.3, Desayuno Comida_Cena
Yogur natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos Linnea V,"6 ud. x 125 g | 1,134 €/kg",0.85, Desayuno Comida_Cena
Postre de soja sabor frutos rojos con dátiles Alpro sin azúcares añadidos,"Bote 400 g | 4,975 €/kg",1.99, Comida_Cena
Postre de soja Alpro Skyr Style sabor fresa high protein,"Bote 400 g | 4,975 €/kg",1.99, Desayuno Comida_Cena
Postre de coco natural Alpro,"Bote 350 g | 5,686 €/kg",1.99, Desayuno Comida_Cena
Postre de soja Hacendado natural,"4 ud. x 100 g | 2,75 €/kg",1.1, Comida_Cena
Postre de soja sabor mango Alpro sin azúcares añadidos,"Bote 400 g | 4,975 €/kg",1.99, Desayuno Comida_Cena
Postre de soja natural Alpro con coco,"Bote 500 g | 3,98 €/kg",1.99, Desayuno Comida_Cena
Postre de soja Hacendado sabor vainilla,"4 ud. x 100 g | 3,225 €/kg",1.29, Comida_Cena
Postre de soja Hacendado con frutos silvestres sin trozos,"4 ud. x 125 g | 2,20 €/kg",1.1, Comida_Cena
Postre de soja Hacendado con piña y maracuyá,"4 ud. x 125 g | 2,20 €/kg",1.1, Desayuno Comida_Cena
Postre de soja Hacendado sabor chocolate,"4 ud. x 100 g | 3,225 €/kg",1.29, Comida_Cena Entre_horas
Yogur azucarado YogoMix Discos Hacendado con disquitos chocolateados,"2 ud. x 150 g | 3,50 €/kg",1.05, Desayuno
Postre crema de turrón Hacendado,"4 ud. x 125 g | 3,60 €/kg",1.8, Desayuno Comida_Cena Entre_horas
Postre caramelo Hacendado,"4 ud. x 100 g | 4,875 €/kg",1.95, Comida_Cena Entre_horas
Natillas +Proteínas sabor vainilla Hacendado 12 g proteínas,"4 ud. x 120 g | 3,334 €/kg",1.6, Desayuno Comida_Cena
"Postre lácteo +Proteínas chocolate Hacendado 1,3 g m.g 10 g proteínas","4 ud. x 120 g | 3,334 €/kg",1.6, Desayuno Comida_Cena Entre_horas
Mousse +Proteínas sabor vainilla Hacendado 20 g proteínas,"Bote 200 g | 6,75 €/kg",1.35, Comida_Cena
